cod,denumire,tier,serviciu_moon,nota
8623,Activitati de asistenta stomatologica,A,Site + Google Ads + GBP + SEO local,Cabinete noi - buget rapid pe achizitie pacienti
8622,Activitati de asistenta medicala specializata,A,Site + Google Ads + GBP + SEO local,Clinici de specialitate
8621,Activitati de asistenta medicala generala,A,Site + Google Ads + GBP + SEO local,
8691,Diagnostic imagistic si laboratoare medicale,A,Site + Google Ads + SEO local,
8693,Activitati ale psihologilor si psihoterapeutilor,A,Site + Google Ads + SEO,Cost redus de intrare pentru ei
8695,Activitati de fizioterapie,A,Site + Google Ads + GBP,
8696,Medicina traditionala complementara si alternativa,A,Site + Social Media Marketing + GBP,
8710,Activitati ale centrelor de ingrijire medicala,A,Site + Google Ads + GBP,
4774,Comert cu amanuntul al articolelor medicale si ortopedice,A,Magazin online + Google Shopping,
9621,Activitati de coafura si frizerie,A,Site + booking + Social Media Marketing + GBP,Volum mare de firme noi
9622,Activitati de tratament si infrumusetare,A,Site + booking + Social Media Marketing + GBP,Saloane beauty - cel mai bun raspuns la reclame
9623,Activitati ale centrelor spa saunelor si bailor de abur,A,Site + booking + Social Media Marketing + GBP,
4775,Comert cu amanuntul al produselor cosmetice si de parfumerie,A,Magazin online + Social Media Marketing + Google Shopping,
9313,Activitati ale centrelor de fitness,A,Site + Social Media Marketing + GBP,Ai case study Just Fitness
9312,Activitati ale cluburilor sportive,A,Site + Social Media Marketing + GBP,
5611,Restaurante,A,Site + rezervari + Social Media Marketing + GBP,
5612,Activitati ale unitatilor mobile de alimentatie,A,Site simplu + Social Media Marketing + GBP,Food truck
5621,Activitati de alimentatie catering pentru evenimente,A,Site + Social Media Marketing + Google Ads,
5622,Alte servicii de alimentatie,A,Site + Social Media Marketing + GBP,
5630,Baruri si alte activitati de servire a bauturilor,A,Site + Social Media Marketing + GBP,
5510,Hoteluri si alte facilitati de cazare similare,A,Site + booking + Social Media Marketing + Google Ads,
5520,Facilitati de cazare pentru vacante si perioade scurte,A,Site + booking + Social Media Marketing,Pensiuni si cabane
5590,Alte servicii de cazare,A,Site + booking + Social Media Marketing,
6811,Cumpararea si vanzarea de bunuri imobiliare proprii,A,Site cu listari + Social Media Marketing,
6812,Dezvoltare promovare imobiliara,A,Site proiect + Social Media Marketing + Google Ads,Dezvoltatori - bugete mari
6831,Servicii de intermediere a tranzactiilor imobiliare,A,Site cu listari + Social Media Marketing,Agentii imobiliare
4771,Comert cu amanuntul al imbracamintei,A,Magazin online + Social Media Marketing + Google Shopping,
4772,Comert cu amanuntul al incaltamintei si articolelor din piele,A,Magazin online + Social Media Marketing + Google Shopping,
4776,Comert cu amanuntul al florilor plantelor si animalelor de companie,A,Magazin online + Google Shopping + GBP,
4777,Comert cu amanuntul al ceasurilor si bijuteriilor,A,Magazin online + Social Media Marketing + Google Shopping,
4778,Comert cu amanuntul al altor bunuri noi,A,Magazin online + Google Shopping,Cod foarte folosit de e-commerce
4754,Comert cu amanuntul al articolelor si aparatelor electrocasnice,A,Magazin online + Google Shopping,
4755,Comert cu amanuntul al mobilei si articolelor de iluminat,A,Magazin online + Social Media Marketing + Google Shopping,
4763,Comert cu amanuntul al echipamentelor sportive,A,Magazin online + Google Shopping,
4764,Comert cu amanuntul al jocurilor si jucariilor,A,Magazin online + Social Media Marketing + Google Shopping,
4740,Comert cu amanuntul al echipamentului informatic si de telecomunicatii,A,Magazin online + Google Shopping,
8551,Invatamant in domeniul sportiv si recreational,A,Site + Social Media Marketing,Scoli de dans karate inot
8552,Invatamant in domeniul cultural muzica teatru dans,A,Site + Social Media Marketing,
8553,Scoli de conducere pilotaj,A,Site + Google Ads + GBP,Scoli de soferi - cerere constanta
8559,Alte forme de invatamant,A,Site + Social Media Marketing + Google Ads,Cursuri private
8561,Activitati de intermediere pentru cursuri si tutori,A,Site + Social Media Marketing,
8891,Activitati de ingrijire zilnica pentru copii,A,Site + Social Media Marketing + GBP,Crese si gradinite private
7911,Activitati ale agentiilor turistice,A,Site + Social Media Marketing + Google Ads,
7912,Activitati ale tur-operatorilor,A,Site + Social Media Marketing + Google Ads,
4100,Lucrari de constructii a cladirilor rezidentiale si nerezidentiale,B,Site portofoliu + Google Ads local,Volum foarte mare de firme noi
4321,Lucrari de instalatii electrice,B,Site + GBP + Google Ads local,
4322,Lucrari de instalatii sanitare de incalzire si aer conditionat,B,Site + GBP + Google Ads local,
4323,Lucrari de izolatii,B,Site + Google Ads local,
4324,Alte lucrari de instalatii pentru constructii,B,Site + Google Ads local,
4331,Lucrari de ipsoserie,B,Site portofoliu + Social Media Marketing,
4332,Lucrari de tamplarie si dulgherie,B,Site portofoliu + Social Media Marketing,
4333,Lucrari de pardosire si placare a peretilor,B,Site portofoliu + Social Media Marketing,
4334,Lucrari de vopsitorie zugraveli si montari de geamuri,B,Site portofoliu + Social Media Marketing,
4335,Alte lucrari de finisare,B,Site portofoliu + Social Media Marketing,Amenajari interioare
4341,Lucrari de invelitori sarpante si terase,B,Site portofoliu + Google Ads local,
4342,Alte lucrari speciale de constructii pentru cladiri,B,Site portofoliu + Google Ads local,
4391,Activitati de zidarie,B,Site portofoliu + Social Media Marketing,
4399,Alte lucrari speciale de constructii,B,Site portofoliu + Social Media Marketing,
4312,Lucrari de pregatire a terenului,B,Site + Google Ads local,
6910,Activitati juridice,B,Site + SEO + Google Ads,Cabinete de avocatura
6920,Contabilitate audit financiar consultanta fiscala,B,Site + SEO + Google Ads,
7020,Activitati de consultanta in afaceri si management,B,Site + SEO + LinkedIn,
7111,Activitati de arhitectura,B,Site portofoliu + SEO + Social Media Marketing,
7112,Activitati de inginerie si consultanta tehnica,B,Site + SEO,
7120,Activitati de testari si analize tehnice,B,Site + SEO + Google Ads,
7411,Activitati de design industrial si vestimentar,B,Site portofoliu + Social Media Marketing,
7412,Design grafic si activitati de comunicare vizuala,B,Site portofoliu,Posibil concurenta partiala
7413,Activitati de design de interior,B,Site portofoliu + Social Media Marketing,
7414,Alte activitati de design specializat,B,Site portofoliu + Social Media Marketing,
7420,Activitati fotografice,B,Site portofoliu + Social Media Marketing + Google Ads,Fotografi nunti
7430,Activitati de traducere scrisa si orala,B,Site + SEO + Google Ads,
7491,Brokeraj in materie de brevete si servicii de marketing,B,Site + SEO,Verifica sa nu fie concurenta
7499,Alte activitati profesionale stiintifice si tehnice,B,Site + SEO,Cod general - verifica manual
4781,Comert cu amanuntul al autovehiculelor,B,Site cu stoc + Social Media Marketing + Google Ads,
4782,Comert cu amanuntul al pieselor si accesoriilor pentru autovehicule,B,Magazin online + Google Shopping,
4783,Comert cu amanuntul al motocicletelor si pieselor,B,Magazin online + Social Media Marketing,
9531,Repararea si intretinerea autovehiculelor,B,Site + GBP + Google Ads local,Service auto
9532,Repararea si intretinerea motocicletelor,B,Site + GBP + Social Media Marketing,
9510,Repararea si intretinerea calculatoarelor si echipamentelor de comunicatii,B,Site + GBP + Google Ads local,
9521,Repararea aparatelor electronice de uz casnic,B,Site + GBP + Google Ads local,
9522,Repararea dispozitivelor de uz gospodaresc si echipamentelor pentru casa si gradina,B,Site + GBP + Google Ads local,
9523,Repararea incaltamintei si articolelor din piele,B,Site simplu + GBP,
9524,Repararea mobilei si furniturilor casnice,B,Site + GBP + Social Media Marketing,
9525,Repararea ceasurilor si bijuteriilor,B,Site + GBP,
9529,Repararea articolelor de uz personal si gospodaresc,B,Site + GBP,
9610,Spalarea si curatarea articolelor textile si din blana,B,Site + GBP + Google Ads local,Curatatorii
9630,Activitati de pompe funebre si similare,B,Site + Google Ads + GBP,Cerere constanta cautare pe Google
9691,Activitati de servicii personale la domiciliu,B,Site + Social Media Marketing + GBP,
9699,Alte servicii personale,B,Site + Social Media Marketing,
4721,Comert cu amanuntul al fructelor si legumelor proaspete,B,Site + GBP + Social Media Marketing,
4722,Comert cu amanuntul al carnii si produselor din carne,B,Site + GBP + Social Media Marketing,
4723,Comert cu amanuntul al pestelui crustaceelor si molustelor,B,Site + GBP + Social Media Marketing,
4724,Comert cu amanuntul al painii patiseriei si produselor zaharoase,B,Site + Social Media Marketing + GBP,Cofetarii si patiserii
4725,Comert cu amanuntul al bauturilor,B,Magazin online + Google Shopping,
4727,Comert cu amanuntul al altor produse alimentare,B,Magazin online + Google Shopping,
4751,Comert cu amanuntul al textilelor,B,Magazin online + Google Shopping,
4752,Comert cu amanuntul al articolelor de fierarie si materialelor de constructii,B,Magazin online + Google Shopping,
4753,Comert cu amanuntul al covoarelor carpetelor si tapetelor,B,Magazin online + Google Shopping,
4761,Comert cu amanuntul al cartilor,B,Magazin online + Google Shopping,
4762,Comert cu amanuntul al ziarelor si articolelor de papetarie,B,Magazin online + Google Shopping,
4769,Comert cu amanuntul de bunuri culturale si recreative,B,Magazin online + Google Shopping,
4773,Comert cu amanuntul al produselor farmaceutice,B,Site + GBP + SEO local,Farmacii - reglementari stricte pe reclame
5911,Productie cinematografica video si programe TV,B,Site portofoliu + Social Media Marketing,POSIBIL PARTENER pentru filmari - nu client
5912,Post-productie cinematografica video si TV,B,Site portofoliu,POSIBIL PARTENER pentru montaj - nu client
5920,Inregistrari audio si editare muzicala,B,Site portofoliu + Social Media Marketing,
8730,Camine de batrani si pentru persoane cu dizabilitati,B,Site + Google Ads + Social Media Marketing,
8810,Asistenta sociala fara cazare pentru batrani si persoane cu dizabilitati,B,Site + Google Ads,
8899,Alte activitati de asistenta sociala fara cazare,B,Site + Social Media Marketing,
4711,Comert cu amanuntul nespecializat predominant alimentar,C,Site + GBP,Magazine de cartier - buget mic
4712,Comert cu amanuntul nespecializat predominant nealimentar,C,Magazin online + Google Shopping,Cod folosit si de e-commerce real - verifica manual
4791,Intermedieri in comertul cu amanuntul nespecializat,C,Magazin online + Social Media Marketing,Multi sunt selleri eMAG/marketplace
4792,Intermedieri in comertul cu amanuntul specializat,C,Magazin online + Social Media Marketing,Multi sunt selleri eMAG/marketplace
4779,Comert cu amanuntul al bunurilor de ocazie,C,Magazin online + Social Media Marketing,
5530,Parcuri pentru rulote campinguri si tabere,C,Site + booking + Social Media Marketing,
6820,Inchirierea si subinchirierea bunurilor imobiliare proprii,C,Site + Social Media Marketing,Multe sunt firme de detinere nu operationale
9311,Activitati ale bazelor sportive,C,Site + booking + Social Media Marketing,
9319,Alte activitati sportive,C,Site + Social Media Marketing,
9321,Activitati ale parcurilor tematice si de distractii,C,Site + Social Media Marketing + Google Ads,
9329,Alte activitati recreative si distractive,C,Site + Social Media Marketing,
7320,Activitati de studiere a pietei si sondare a opiniei publice,C,Site + LinkedIn,Posibil concurenta partiala
7330,Activitati in domeniul relatiilor publice si comunicarii,C,Site + LinkedIn,Concurenta partiala - verifica manual
8569,Activitati de servicii suport pentru invatamant,C,Site + Social Media Marketing,
8699,Alte activitati referitoare la sanatatea umana,C,Site + Google Ads + GBP,Cod general - verifica manual
